,participant_id,prog_exp,grading_exp
2,4,5+ years,"No grading 
 experience"
3,10,5+ years,2 - 3 years
4,18,5+ years,2 - 3 years
5,19,5+ years,0 - 1 years
6,3,5+ years,1 - 2 years
7,16,5+ years,"No grading 
 experience"
8,24,5+ years,"No grading 
 experience"
9,2,5+ years,"No grading 
 experience"
10,25,5+ years,"No grading 
 experience"
11,5,5+ years,"No grading 
 experience"
12,17,5+ years,"No grading 
 experience"
13,9,3 - 5 years,0 - 1 years
14,1,5+ years,0 - 1 years
15,6,5+ years,"No grading 
 experience"
16,15,5+ years,"No grading 
 experience"
17,26,3 - 5 years,0 - 1 years
18,27,5+ years,"No grading 
 experience"
19,22,5+ years,"No grading 
 experience"
20,20,5+ years,"No grading 
 experience"
21,11,5+ years,"No grading 
 experience"
22,8,3 - 5 years,0 - 1 years
23,14,5+ years,"No grading 
 experience"
24,12,5+ years,"No grading 
 experience"
25,7,5+ years,0 - 1 years
26,28,5+ years,"No grading 
 experience"
27,13,5+ years,"No grading 
 experience"
28,21,5+ years,1 - 2 years
29,23,5+ years,"No grading 
 experience"
